product_update_id;update_date;product_id;description;update_type_id;creation_date;ts
538;2006-09-28 00:00:00;16;Pages 2.0.2 update available;4;2006-09-28 00:00:00;2008-07-26 03:41:44
539;2006-09-28 00:00:00;45;iWeb 1.1.2 update available;4;2006-09-28 00:00:00;2008-07-26 03:41:44
540;2006-09-28 00:00:00;11;iPhoto 6.0.5 update available;4;2006-09-28 00:00:00;2008-07-26 03:41:44
541;2006-09-28 00:00:00;13;iDVD 6.0.3 update available;4;2006-09-28 00:00:00;2008-07-26 03:41:44
542;2006-09-28 00:00:00;14;GarageBand 3.0.4 update available;4;2006-09-28 00:00:00;2008-07-26 03:41:44
543;2006-09-30 00:00:00;1;10.4.8 update released (with Security Update 2006-006);3;2006-09-30 00:00:00;2008-07-26 03:41:44
544;2006-10-24 00:00:00;34;MacBook Pro update 15.4" 2.16/2.33GHz, FW800, 120GB HDD, 1/2GB RAM, double-layer SuperDrive\; 17" 2.33GHz, 160GB HDD, 2GB RAM,;3;2006-10-24 00:00:00;2008-07-26 03:41:44
545;2006-10-25 00:00:00;18;Final Cut Express HD 3.5.1 update available;4;2006-10-25 00:00:00;2008-07-26 03:41:44
546;2006-10-26 00:00:00;23;DVD Studio Pro 4.1.1 update available;4;2006-10-26 00:00:00;2008-07-26 03:41:44
547;2006-10-31 00:00:00;9;iTunes 7.0.2 update available;4;2006-10-31 00:00:00;2008-07-26 03:41:44
548;2006-11-02 00:00:00;44;Aperture 1.5.1 update available, demo also available;4;2006-11-02 00:00:00;2008-07-26 03:41:44
549;2006-11-03 00:00:00;43;iPod nano (PRODUCT) RED special edition now in 8GB model;4;2006-11-03 00:00:00;2008-07-26 03:41:44
550;2006-11-03 00:00:00;40;iPod shuffle 2nd gen, now shipping;5;2006-11-03 00:00:00;2008-07-26 03:41:44
551;2006-11-08 00:00:00;33;MacBook now Core 2 Duo same price, 1.83GHz white same spec/ 2.0 GHz white 1GB RAM 80GB HDD/ 2.0GHz black 1GB RAM 120GB HDD;3;2006-11-08 00:00:00;2008-07-26 03:41:44
552;2006-09-12 00:00:00;48;iTV demoed at special 'Showtime' event. Media streaming device, US$299, launch early 2007;5;2006-09-12 00:00:00;2008-07-26 03:41:44
553;2006-11-16 00:00:00;39;ARD 3.1 update available;3;2006-11-16 00:00:00;2008-07-26 03:41:44
554;2006-11-28 00:00:00;1;Security Update 2006-007;4;2006-11-28 00:00:00;2008-07-26 03:41:44
